R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
120.2960115,129.3371265,128.8761776
106.6223216,131.8864936,152.3633234
115.8857562,127.8056802,120.3071901
148.1620695,155.111986,165.1482021
116.3669153,123.9895347,130.9647571
135.8901617,123.8288972,133.9992587
107.5554125,109.454499,99.34127893
132.5751852,157.1452996,184.2777726
122.5463112,130.693209,120.2809158
128.4627809,124.436005,119.5982492
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
122.578166,126.1997752,129.6599303
124.014261,132.9498625,134.9553543
135.8901617,123.8288972,133.9992587
154.77152,153.8742868,145.6075709
110.4937789,106.6170019,106.7269332
107.8977507,110.6815784,110.9659671
123.2669358,130.786537,133.8526564
128.4627809,124.436005,119.5982492
101.0069017,103.6294835,105.542287
129.9452806,133.3974195,130.4062925
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
122.578166,126.1997752,129.6599303
124.014261,132.9498625,134.9553543
135.8901617,123.8288972,133.9992587
154.77152,153.8742868,145.6075709
110.4937789,106.6170019,106.7269332
107.8977507,110.6815784,110.9659671
123.2669358,130.786537,133.8526564
128.4627809,124.436005,119.5982492
101.0069017,103.6294835,105.542287
129.9452806,133.3974195,130.4062925
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
