R,G,B,Lat,Lon,cluster
133,135,133,1.317,103.6736667,8
105,124,128,1.317,103.6736667,7
154,151,143,1.317,103.6736667,6
143,142,132,1.317,103.6736667,8
118,112,105,1.317,103.6736667,3
83,137,126,1.317,103.6736667,7
146,137,137,1.317,103.6736667,8
126,125,120,1.317,103.6736667,7
100,105,103,1.321041454,103.6806667,3
161,168,167,1.321041454,103.6806667,6
133,135,133,1.321041454,103.6806667,8
105,124,128,1.321041454,103.6806667,7
154,151,143,1.321041454,103.6806667,6
143,142,132,1.321041454,103.6806667,8
118,112,105,1.321041454,103.6806667,3
83,137,126,1.321041454,103.6806667,7
146,137,137,1.321041454,103.6806667,8
126,125,120,1.321041454,103.6806667,7
101,102,94,1.321041454,103.7086668,3
89,97,60,1.321041454,103.7086668,1
90,101,67,1.321041454,103.7086668,1
127,130,123,1.321041454,103.7086668,8
139,141,135,1.321041454,103.7086668,8
110,126,122,1.321041454,103.7086668,7
163,172,151,1.321041454,103.7086668,6
60,46,40,1.321041454,103.7086668,1
96,101,96,1.321041454,103.7086668,3
94,97,64,1.321041454,103.7086668,1
107,95,80,1.321041454,103.7086668,3
149,146,144,1.321041454,103.7086668,6
140,135,132,1.321041454,103.7086668,8
120,127,131,1.321041454,103.7086668,7
97,108,115,1.321041454,103.7086668,7
81,85,87,1.321041454,103.7086668,1
119,129,134,1.321041454,103.7086668,7
137,153,167,1.321041454,103.7086668,2
96,97,81,1.321041454,103.7086668,3
88,98,100,1.321041454,103.7086668,3
70,73,70,1.321041454,103.7086668,1
119,124,127,1.321041454,103.7086668,7
90,99,63,1.321041454,103.7086668,1
126,129,129,1.321041454,103.7086668,8
135,141,152,1.321041454,103.7086668,2
100,105,103,1.325082908,103.6736667,3
161,168,167,1.325082908,103.6736667,6
133,135,133,1.325082908,103.6736667,8
105,124,128,1.325082908,103.6736667,7
154,151,143,1.325082908,103.6736667,6
143,142,132,1.325082908,103.6736667,8
118,112,105,1.325082908,103.6736667,3
83,137,126,1.325082908,103.6736667,7
146,137,137,1.325082908,103.6736667,8
126,125,120,1.325082908,103.6736667,7
103,102,94,1.333165815,103.7016668,3
147,149,144,1.333165815,103.7296668,6
149,152,135,1.333165815,103.7296668,6
103,102,116,1.333165815,103.7296668,7
121,87,65,1.333165815,103.7296668,1
72,100,50,1.333165815,103.7296668,1
161,151,99,1.333165815,103.7296668,4
121,139,136,1.333165815,103.7296668,8
135,153,121,1.333165815,103.7296668,8
104,105,95,1.333165815,103.7296668,3
119,121,104,1.333165815,103.7296668,7
109,118,82,1.333165815,103.7296668,3
151,154,148,1.333165815,103.7296668,6
133,131,112,1.333165815,103.7296668,8
102,114,70,1.337207269,103.6946668,3
91,99,73,1.337207269,103.6946668,1
114,123,117,1.337207269,103.6946668,7
105,109,106,1.337207269,103.6946668,3
117,107,106,1.337207269,103.7086668,3
91,121,136,1.337207269,103.7086668,7
123,133,105,1.337207269,103.7086668,7
107,104,92,1.337207269,103.7086668,3
102,119,139,1.337207269,103.7086668,7
77,50,20,1.337207269,103.7086668,1
115,125,96,1.337207269,103.7086668,3
103,106,98,1.337207269,103.7086668,3
117,126,102,1.337207269,103.7086668,7
151,154,142,1.337207269,103.7086668,6
112,119,123,1.337207269,103.7086668,7
68,85,97,1.337207269,103.7086668,1
112,125,81,1.337207269,103.7086668,3
102,106,105,1.337207269,103.7086668,3
114,118,95,1.337207269,103.7086668,3
118,124,133,1.337207269,103.7086668,7
73,77,71,1.337207269,103.7086668,1
176,177,176,1.337207269,103.7086668,5
138,142,146,1.337207269,103.7086668,2
118,116,94,1.337207269,103.7086668,3
118,136,123,1.337207269,103.7226668,7
134,148,130,1.337207269,103.7226668,8
121,115,107,1.337207269,103.7226668,7
126,127,87,1.337207269,103.7226668,3
102,113,85,1.337207269,103.7226668,3
70,58,44,1.337207269,103.7226668,1
106,106,92,1.337207269,103.7226668,3
70,72,48,1.337207269,103.7226668,1
97,100,97,1.337207269,103.7226668,3
113,118,116,1.337207269,103.7226668,7
98,99,77,1.337207269,103.7226668,3
85,87,78,1.337207269,103.7226668,1
87,110,119,1.337207269,103.7226668,7
121,115,107,1.337207269,103.7226668,7
126,127,87,1.337207269,103.7226668,3
102,113,85,1.337207269,103.7226668,3
70,72,48,1.337207269,103.7226668,1
106,106,92,1.337207269,103.7226668,3
97,100,97,1.337207269,103.7226668,3
113,118,116,1.337207269,103.7226668,7
98,99,77,1.337207269,103.7226668,3
85,87,78,1.337207269,103.7226668,1
110,130,127,1.337207269,103.7226668,7
116,123,122,1.337207269,103.7226668,7
113,134,115,1.337207269,103.7226668,7
109,114,103,1.337207269,103.7226668,3
94,127,136,1.337207269,103.7226668,7
89,98,91,1.337207269,103.7226668,3
95,124,116,1.337207269,103.7226668,7
140,139,132,1.341248723,103.6876668,8
124,132,99,1.341248723,103.6876668,7
116,116,107,1.341248723,103.6876668,7
110,112,97,1.341248723,103.6876668,3
92,91,84,1.341248723,103.6876668,1
108,108,104,1.341248723,103.6876668,3
103,120,72,1.341248723,103.6876668,3
88,101,93,1.341248723,103.6876668,3
86,102,106,1.341248723,103.6876668,3
79,83,72,1.341248723,103.6876668,1
88,95,74,1.341248723,103.6876668,1
129,133,128,1.341248723,103.6876668,8
113,116,116,1.341248723,103.6876668,7
99,104,91,1.341248723,103.6876668,3
79,92,58,1.341248723,103.6876668,1
86,100,110,1.341248723,103.6876668,3
116,125,94,1.341248723,103.6876668,3
107,119,123,1.341248723,103.6876668,7
107,122,107,1.341248723,103.6876668,7
108,118,112,1.341248723,103.6876668,7
149,141,127,1.341248723,103.6876668,8
112,106,93,1.341248723,103.6876668,3
166,169,153,1.341248723,103.6876668,6
102,94,57,1.341248723,103.6876668,1
115,106,91,1.341248723,103.6876668,3
116,128,142,1.341248723,103.7016668,7
140,139,132,1.345290176,103.6806667,8
124,132,99,1.345290176,103.6806667,7
116,116,107,1.345290176,103.6806667,7
110,112,97,1.345290176,103.6806667,3
92,91,84,1.345290176,103.6806667,1
108,108,104,1.345290176,103.6806667,3
103,120,72,1.345290176,103.6806667,3
88,101,93,1.345290176,103.6806667,3
86,102,106,1.345290176,103.6806667,3
79,83,72,1.345290176,103.6806667,1
88,95,74,1.345290176,103.6806667,1
129,133,128,1.345290176,103.6806667,8
113,116,116,1.345290176,103.6806667,7
99,104,91,1.345290176,103.6806667,3
79,92,58,1.345290176,103.6806667,1
86,100,110,1.345290176,103.6806667,3
116,125,94,1.345290176,103.6806667,3
107,119,123,1.345290176,103.6806667,7
107,122,107,1.345290176,103.6806667,7
