cluster,Lat,Lon,hexColor
1,1.195756387,103.7576668,#948E79
1,1.199797841,103.7646668,#948E79
1,1.203839294,103.7576668,#948E79
1,1.211922202,103.7856668,#948E79
1,1.215963656,103.8346668,#948E79
1,1.228088017,103.8556668,#948E79
1,1.232129471,103.6806667,#948E79
1,1.232129471,103.8486668,#948E79
1,1.232129471,103.8626668,#948E79
1,1.236170925,103.6736667,#948E79
1,1.236170925,103.7436668,#948E79
1,1.236170925,103.8556668,#948E79
1,1.25233674,103.7016668,#948E79
1,1.256378193,103.6946668,#948E79
1,1.256378193,103.7086668,#948E79
1,1.268502555,103.7716668,#948E79
1,1.272544009,103.7366668,#948E79
1,1.280626916,103.6526667,#948E79
1,1.28466837,103.6456667,#948E79
1,1.288709824,103.6526667,#948E79
1,1.308917092,103.9816669,#948E79
1,1.317,104.0376669,#948E79
1,1.341248723,104.0796669,#948E79
1,1.353373084,103.8766668,#948E79
1,1.357414538,103.8696668,#948E79
1,1.361455991,103.8766668,#948E79
1,1.361455991,104.0026669,#948E79
1,1.365497445,103.9816669,#948E79
1,1.369538899,104.0026669,#948E79
1,1.373580353,104.0096669,#948E79
1,1.377621807,104.0026669,#948E79
1,1.38166326,103.9396669,#948E79
1,1.397829075,103.9396669,#948E79
1,1.401870529,104.0166669,#948E79
1,1.418036344,103.8766668,#948E79
1,1.422077798,103.8836668,#948E79
1,1.426119252,103.8766668,#948E79
1,1.430160706,103.8836668,#948E79
1,1.434202159,103.8766668,#948E79
2,1.159383303,103.7366668,#D6DADA
2,1.163424757,103.7436668,#D6DADA
2,1.171507664,103.7296668,#D6DADA
2,1.191714933,103.7786668,#D6DADA
2,1.199797841,103.7086668,#D6DADA
2,1.203839294,103.7716668,#D6DADA
2,1.207880748,103.6386667,#D6DADA
2,1.211922202,103.6316667,#D6DADA
2,1.211922202,103.6456667,#D6DADA
2,1.215963656,103.6386667,#D6DADA
2,1.215963656,103.8486668,#D6DADA
2,1.22000511,103.8416668,#D6DADA
2,1.22000511,103.8556668,#D6DADA
2,1.224046563,103.7646668,#D6DADA
2,1.224046563,103.7786668,#D6DADA
2,1.224046563,103.8486668,#D6DADA
2,1.228088017,103.7716668,#D6DADA
2,1.228088017,103.8416668,#D6DADA
2,1.232129471,103.7646668,#D6DADA
2,1.236170925,103.6456667,#D6DADA
2,1.236170925,103.8276668,#D6DADA
2,1.240212378,103.6526667,#D6DADA
2,1.240212378,103.8346668,#D6DADA
2,1.244253832,103.8276668,#D6DADA
2,1.248295286,103.6106667,#D6DADA
2,1.25233674,103.6036667,#D6DADA
2,1.25233674,103.7856668,#D6DADA
2,1.260419647,103.6176667,#D6DADA
2,1.260419647,103.7156668,#D6DADA
2,1.264461101,103.7086668,#D6DADA
2,1.276585462,103.7576668,#D6DADA
2,1.280626916,103.8766668,#D6DADA
2,1.300834185,103.9256669,#D6DADA
2,1.308917092,103.9256669,#D6DADA
2,1.312958546,103.9746669,#D6DADA
2,1.329124361,103.8626668,#D6DADA
2,1.333165815,103.6316667,#D6DADA
2,1.337207269,104.0026669,#D6DADA
2,1.337207269,104.0866669,#D6DADA
2,1.345290176,103.7366668,#D6DADA
2,1.345290176,104.0306669,#D6DADA
2,1.34933163,104.0236669,#D6DADA
2,1.353373084,103.6526667,#D6DADA
2,1.353373084,103.6666667,#D6DADA
2,1.353373084,104.0306669,#D6DADA
2,1.357414538,103.6596667,#D6DADA
2,1.357414538,103.9256669,#D6DADA
2,1.361455991,103.8346668,#D6DADA
2,1.361455991,103.9326669,#D6DADA
2,1.365497445,103.8276668,#D6DADA
2,1.365497445,103.8416668,#D6DADA
2,1.365497445,103.9116669,#D6DADA
2,1.365497445,104.0096669,#D6DADA
2,1.369538899,103.8346668,#D6DADA
2,1.369538899,103.8766668,#D6DADA
2,1.373580353,103.8836668,#D6DADA
2,1.38166326,104.0236669,#D6DADA
2,1.389746168,103.8976668,#D6DADA
2,1.393787622,103.6806667,#D6DADA
