cluster,Lat,Lon,hexColor
1,1.304875639,103.7226668,#6C848E
1,1.341248723,103.7016668,#6C848E
2,1.272544009,103.6806667,#6F7472
2,1.276585462,103.6736667,#6F7472
2,1.280626916,103.6806667,#6F7472
2,1.337207269,103.6946668,#6F7472
2,1.345290176,103.7226668,#6F7472
2,1.34933163,103.6876668,#6F7472
2,1.3526,103.8352,#6F7472
2,1.353373084,103.6806667,#6F7472
2,1.385704714,103.6946668,#6F7472
2,1.418036344,103.7226668,#6F7472
3,1.203839294,103.7156668,#8E8B84
3,1.207880748,103.7226668,#8E8B84
3,1.211922202,103.7156668,#8E8B84
3,1.300834185,103.7296668,#8E8B84
3,1.317,103.6736667,#8E8B84
3,1.321041454,103.6806667,#8E8B84
3,1.325082908,103.6736667,#8E8B84
3,1.333165815,103.7296668,#8E8B84
3,1.397829075,103.6596667,#8E8B84
4,1.288709824,103.6246667,#7E8175
4,1.292751277,103.6316667,#7E8175
4,1.296792731,103.6246667,#7E8175
4,1.300834185,103.6316667,#7E8175
4,1.304875639,103.6246667,#7E8175
4,1.312958546,103.7086668,#7E8175
4,1.345290176,103.6946668,#7E8175
4,1.353373084,103.6946668,#7E8175
4,1.41399489,103.7156668,#7E8175
4,1.426119252,103.7226668,#7E8175
4,1.430160706,103.7156668,#7E8175
4,1.434202159,103.7226668,#7E8175
5,1.244253832,103.6736667,#9BA09E
5,1.248295286,103.6806667,#9BA09E
5,1.25233674,103.6736667,#9BA09E
6,1.345290176,103.7086668,#737D52
6,1.357414538,103.6876668,#737D52
7,1.304875639,103.6386667,#54523D
7,1.321041454,103.7086668,#54523D
8,1.312958546,103.6946668,#66665E
8,1.333165815,103.7016668,#66665E
8,1.337207269,103.7086668,#66665E
8,1.337207269,103.7226668,#66665E
8,1.341248723,103.6876668,#66665E
8,1.345290176,103.6806667,#66665E
8,1.34933163,103.7156668,#66665E
8,1.357414538,103.7156668,#66665E
8,1.377621807,103.6946668,#66665E
8,1.438243613,103.7016668,#66665E
