Lat,Lon,N.Blue,N.Cyan,N.Yellow,N.Red,N.Green,N.Magenta,N.Total
1.308917092,103.8136668,0.103,0.103,0.397,0.09,0.256,0.051,78
1.308917092,103.8276668,0.134,0.09,0.448,0.269,0.03,0.03,67
1.308917092,103.8416668,0.176,0.162,0.27,0.297,0.054,0.041,74
1.308917092,103.8556668,0.275,0.13,0.275,0.261,0.014,0.043,69
1.308917092,103.8696668,0.098,0.085,0.524,0.22,0,0.073,82
1.308917092,103.8836668,0.131,0.148,0.443,0.197,0.049,0.033,61
1.308917092,103.8976668,0.138,0.103,0.431,0.276,0,0.052,58
1.308917092,103.9116669,0.141,0.207,0.424,0.13,0.054,0.043,92
1.308917092,103.9256669,0.286,0.275,0.231,0.154,0,0.055,91
1.308917092,103.9396669,0.203,0.203,0.25,0.281,0.047,0.016,64
1.308917092,103.9536669,0.277,0.06,0.458,0.12,0.024,0.06,83
1.308917092,103.9816669,0.107,0.214,0.571,0.089,0.018,0,56
1.308917092,103.9956669,0.167,0.106,0.689,0.03,0.008,0,132
1.312958546,103.6246667,0,0.615,0.308,0,0.077,0,13
1.312958546,103.6386667,0.25,0.25,0.5,0,0,0,4
1.312958546,103.6526667,0.438,0.125,0.312,0.062,0.062,0,16
1.312958546,103.6666667,0,0,0.5,0.5,0,0,2
1.312958546,103.6806667,0.333,0,0.333,0.333,0,0,3
1.312958546,103.6946668,0.2,0.4,0,0.4,0,0,5
1.312958546,103.7086668,0.038,0.127,0.57,0.063,0.203,0,79
1.312958546,103.7226668,0.344,0.094,0.375,0.094,0.094,0,32
1.312958546,103.7366668,0.405,0.189,0.27,0.108,0.027,0,37
1.312958546,103.7506668,0.091,0.152,0.439,0.242,0.03,0.045,66
1.312958546,103.7646668,0.119,0.203,0.288,0.39,0,0,59
1.312958546,103.7786668,0.217,0.116,0.333,0.232,0.087,0.014,69
1.312958546,103.7926668,0.278,0.167,0.259,0.204,0.074,0.019,54
1.312958546,103.8066668,0.167,0.141,0.321,0.09,0.231,0.051,78
1.312958546,103.8206668,0.129,0.129,0.314,0.129,0.271,0.029,70
1.312958546,103.8346668,0.195,0.091,0.234,0.429,0.039,0.013,77
1.312958546,103.8486668,0.231,0.198,0.352,0.209,0.011,0,91
1.312958546,103.8626668,0.16,0.32,0.34,0.12,0.04,0.02,50
1.312958546,103.8766668,0.144,0.124,0.464,0.175,0.052,0.041,97
1.312958546,103.8906668,0.304,0.072,0.275,0.304,0.014,0.029,69
1.312958546,103.9046669,0.131,0.131,0.475,0.23,0,0.033,61
1.312958546,103.9186669,0.17,0.227,0.295,0.261,0,0.045,88
1.312958546,103.9326669,0.231,0.215,0.338,0.169,0.046,0,65
1.312958546,103.9466669,0.238,0.175,0.302,0.206,0.048,0.032,63
1.312958546,103.9606669,0.377,0.131,0.295,0.082,0.016,0.098,61
1.312958546,103.9746669,0.215,0.038,0.582,0.127,0,0.038,79
1.312958546,103.9886669,0.169,0.077,0.354,0.4,0,0,65
1.312958546,104.0026669,0.14,0.14,0.719,0,0,0,57
1.312958546,104.0166669,0.393,0.292,0.18,0.09,0.034,0.011,89
1.312958546,104.0306669,0.282,0.338,0.099,0.268,0.014,0,71
1.317,103.6316667,0.071,0.571,0.286,0,0.071,0,14
1.317,103.6456667,0.444,0.333,0.222,0,0,0,9
1.317,103.6596667,0,0.25,0.5,0,0.25,0,4
1.317,103.6736667,0,0,0.667,0.333,0,0,3
1.317,103.6876668,0,0,0,1,0,0,1
1.317,103.7016668,0.025,0.123,0.568,0.086,0.198,0,81
1.317,103.7156668,0.14,0.163,0.465,0.128,0.081,0.023,86
1.317,103.7296668,0.326,0.116,0.349,0.163,0.047,0,43
1.317,103.7436668,0.302,0.175,0.222,0.222,0.048,0.032,63
1.317,103.7716668,0.2,0.164,0.273,0.345,0.018,0,55
1.317,103.7856668,0.125,0.098,0.312,0.241,0.196,0.027,112
1.317,103.7996668,0.344,0.188,0.188,0.219,0.031,0.031,64
1.317,103.8136668,0.13,0.13,0.319,0.116,0.275,0.029,69
1.317,103.8276668,0.165,0.152,0.367,0.278,0.025,0.013,79
1.317,103.8416668,0.195,0.126,0.391,0.253,0.034,0,87
1.317,103.8556668,0.2,0.2,0.32,0.24,0.04,0,50
1.317,103.8696668,0.175,0.125,0.225,0.45,0.025,0,40
1.317,103.8836668,0.338,0.118,0.309,0.206,0.015,0.015,68
1.317,103.8976668,0.192,0.135,0.442,0.192,0,0.038,52
1.317,103.9116669,0.114,0.227,0.386,0.193,0.023,0.057,88
1.317,103.9256669,0.148,0.307,0.307,0.182,0.011,0.045,88
1.317,103.9396669,0.172,0.203,0.281,0.25,0.047,0.047,64
1.317,103.9536669,0.455,0.061,0.227,0.136,0.061,0.061,66
1.317,103.9676669,0.26,0.096,0.452,0.123,0.027,0.041,73
1.317,103.9816669,0.171,0.024,0.22,0.585,0,0,41
1.317,103.9956669,0.177,0.081,0.355,0.387,0,0,62
1.317,104.0096669,0.417,0.083,0.333,0.125,0.042,0,24
1.317,104.0236669,0.303,0.236,0.157,0.281,0.011,0.011,89
1.317,104.0376669,0,0,0.261,0.739,0,0,23
1.321041454,103.6246667,0.1,0.7,0.1,0,0.1,0,10
1.321041454,103.6386667,0.25,0.25,0.5,0,0,0,4
1.321041454,103.6526667,0.5,0.5,0,0,0,0,2
1.321041454,103.6666667,0,1,0,0,0,0,2
