cluster,R.avg,G.avg,B.avg,hexColor
6,215.098460852108,218.891278161945,218.435958063797,#D7DADA
8,98.5833640383198,103.963890935888,94.0802321296979,#62675E
7,14.2784970942019,13.4154074874983,13.773942424652,#0E0D0D
5,250.254696305573,251.258162626353,250.568051704088,#FAFBFA
1,183.225432198036,184.394348400437,178.075354660847,#B7B8B2
4,181.139894265962,116.874339162261,60.5193167954453,#B5743C
2,52.0625526674013,51.2862513774551,45.525507227588,#34332D
3,134.735251907244,146.579651031045,149.289372309087,#869295
