R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
126.3194585,135.7149908,135.7585785
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
126.3194585,135.7149908,135.7585785
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
126.3194585,135.7149908,135.7585785
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
126.3194585,135.7149908,135.7585785
100.7936873,123.1499245,138.7871806
127.2388622,136.7146572,131.1795618
142.0578505,148.8050605,158.6608185
111.6973381,119.205573,125.6070107
114.342272,98.396864,101.5164533
114.9468541,117.3922918,109.4127829
132.8239573,157.3321779,184.413452
148.736032,157.479904,149.8284587
132.9668043,129.9885125,126.234847
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
126.3194585,135.7149908,135.7585785
100.7936873,123.1499245,138.7871806
127.2388622,136.7146572,131.1795618
142.0578505,148.8050605,158.6608185
111.6973381,119.205573,125.6070107
114.342272,98.396864,101.5164533
114.9468541,117.3922918,109.4127829
132.8239573,157.3321779,184.413452
148.736032,157.479904,149.8284587
132.9668043,129.9885125,126.234847
0,0,0
0,0,0
0,0,0
