R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
126.3194585,135.7149908,135.7585785
100.7936873,123.1499245,138.7871806
127.2388622,136.7146572,131.1795618
142.0578505,148.8050605,158.6608185
111.6973381,119.205573,125.6070107
114.342272,98.396864,101.5164533
114.9468541,117.3922918,109.4127829
132.8239573,157.3321779,184.413452
148.736032,157.479904,149.8284587
132.9668043,129.9885125,126.234847
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
117.796605,121.5790676,124.5508327
113.3214448,121.2933665,122.5070534
114.342272,98.396864,101.5164533
141.5926453,140.0074987,130.3837227
126.1164769,122.482242,121.9993238
97.8388968,100.5956085,100.5032384
107.775728,115.5225013,119.7724907
132.9668043,129.9885125,126.234847
97.39939502,99.97748754,101.857331
128.1624199,131.9901495,129.1212313
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
117.796605,121.5790676,124.5508327
113.3214448,121.2933665,122.5070534
114.342272,98.396864,101.5164533
141.5926453,140.0074987,130.3837227
126.1164769,122.482242,121.9993238
97.8388968,100.5956085,100.5032384
107.775728,115.5225013,119.7724907
132.9668043,129.9885125,126.234847
97.39939502,99.97748754,101.857331
128.1624199,131.9901495,129.1212313
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
117.796605,121.5790676,124.5508327
113.3214448,121.2933665,122.5070534
114.342272,98.396864,101.5164533
141.5926453,140.0074987,130.3837227
126.1164769,122.482242,121.9993238
97.8388968,100.5956085,100.5032384
107.775728,115.5225013,119.7724907
132.9668043,129.9885125,126.234847
97.39939502,99.97748754,101.857331
128.1624199,131.9901495,129.1212313
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
121.9049609,120.2708683,109.6309253
96.980144,113.3733227,131.903856
110.8104342,117.7258861,93.71410676
103.3256655,135.8848683,144.0934875
116.411422,118.1119083,121.0676972
136.5860533,143.052496,144.9243947
122.8653238,142.2698007,159.9338577
156.8248043,162.0314591,161.2869466
117.3337227,108.0844747,114.8648747
136.0025267,102.8048826,89.73654093
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
121.9049609,120.2708683,109.6309253
96.980144,113.3733227,131.903856
110.8104342,117.7258861,93.71410676
103.3256655,135.8848683,144.0934875
116.411422,118.1119083,121.0676972
136.5860533,143.052496,144.9243947
122.8653238,142.2698007,159.9338577
156.8248043,162.0314591,161.2869466
117.3337227,108.0844747,114.8648747
136.0025267,102.8048826,89.73654093
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
121.9049609,120.2708683,109.6309253
96.980144,113.3733227,131.903856
110.8104342,117.7258861,93.71410676
103.3256655,135.8848683,144.0934875
116.411422,118.1119083,121.0676972
136.5860533,143.052496,144.9243947
122.8653238,142.2698007,159.9338577
156.8248043,162.0314591,161.2869466
117.3337227,108.0844747,114.8648747
136.0025267,102.8048826,89.73654093
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
121.9049609,120.2708683,109.6309253
96.980144,113.3733227,131.903856
110.8104342,117.7258861,93.71410676
103.3256655,135.8848683,144.0934875
116.411422,118.1119083,121.0676972
136.5860533,143.052496,144.9243947
122.8653238,142.2698007,159.9338577
156.8248043,162.0314591,161.2869466
117.3337227,108.0844747,114.8648747
136.0025267,102.8048826,89.73654093
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
111.2600214,102.1807829,99.48994306
148.0101281,146.1982206,141.454968
135.6773238,133.7858363,128.324
151.5835658,146.392242,136.9563345
125.476548,123.9498221,123.1273665
116.6852954,113.019879,108.6561708
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
129.5603833,136.8486667,137.9261333
113.4100783,131.5704057,153.7013381
82.55569504,97.79108511,73.55478014
143.381152,113.7086987,110.7518667
133.5770819,132.6909964,120.0983915
116.3820853,114.6786613,114.0377227
148.5892028,129.0147189,105.7983701
93.22057651,94.40638434,92.54699644
109.6136157,107.2648754,105.19121
129.346484,123.7155943,120.226363
88.77863467,80.07499733,73.94484267
136.9057936,134.4943416,128.886605
106.7076747,114.5711787,86.7872
129.7834306,132.8038221,124.3713594
48.39148267,35.564464,31.892272
80.65494662,45.60998577,22.92316726
65.654112,91.900064,60.26048
127.4387093,130.494624,122.7508853
81.15311032,71.02113167,65.67213523
97.0935516,68.59118149,28.43460498
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
121.4003947,140.143344,159.337104
112.3067864,113.092466,112.3683495
99.04867616,103.2059146,82.74156584
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
123.021758,130.6358719,133.7587046
118.597395,116.578605,113.5026904
121.52976,122.7783147,118.0264693
116.1808853,133.6628053,134.6881333
107.4615893,103.449248,100.612
107.5552922,114.4667131,105.2289008
108.309584,101.3295253,89.278432
92.46337067,95.74465067,83.946848
101.9566027,99.48631467,91.67997867
163.7136747,135.2511253,75.659712
139.150912,133.0974187,128.9724107
114.3396797,123.0867046,101.7642633
119.920484,127.1868754,131.5252313
97.34140925,107.9647473,115.430847
70.23166548,73.66041993,75.82184342
119.7450189,128.9133774,133.9535472
137.373392,152.8854933,167.614448
127.4971459,132.7134662,124.8825836
116.426368,117.5085013,114.3978347
83.17516418,95.27857313,69.95942687
128.6060661,125.7747928,119.2171712
110.3409013,146.420512,135.2604267
79.57046027,75.59836712,69.93935342
104.3610605,134.6101637,118.7821495
87.06040569,78.4675516,68.2774306
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
100.0826027,105.658352,103.828928
160.8346044,168.4441067,167.68016
87.66903467,89.84448533,87.74510933
105.1050293,123.2148107,128.2763147
151.5096826,148.0333054,140.3852635
143.5604626,142.8543986,132.1097438
113.9025409,108.3074164,101.0600569
83.84542349,136.9499004,126.3330676
146.090427,137.3925338,137.4818363
95.21671886,94.26163701,89.95905338
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
100.0826027,105.658352,103.828928
160.8346044,168.4441067,167.68016
87.66903467,89.84448533,87.74510933
105.1050293,123.2148107,128.2763147
151.5096826,148.0333054,140.3852635
143.5604626,142.8543986,132.1097438
113.9025409,108.3074164,101.0600569
83.84542349,136.9499004,126.3330676
146.090427,137.3925338,137.4818363
95.21671886,94.26163701,89.95905338
0,0,0
101.2097973,102.314336,94.46274133
82.67529067,90.73341333,54.860064
89.18093134,100.0275045,66.94109254
127.5824084,130.5806547,123.5954835
136.660192,139.0047467,132.8326933
109.7688373,125.9006347,121.9283253
162.8810961,170.9294306,150.9056797
57.45136655,43.98220641,37.9566548
92.74131673,98.262121,92.84527402
91.24370819,88.21044128,61.0579573
86.42945907,74.48822064,60.57602135
138.5511573,135.7870507,134.059824
140.8872542,135.5145932,132.8525254
119.920484,127.1868754,131.5252313
97.34140925,107.9647473,115.430847
70.23166548,73.66041993,75.82184342
119.7450189,128.9133774,133.9535472
137.373392,152.8854933,167.614448
96.21990933,97.32786667,81.06357867
88.1772766,98.0236383,99.89189362
66.81869519,69.57712834,66.11949733
119.5362507,124.4999147,126.9558027
77.973488,86.345488,52.44467733
126.35912,129.0580853,129.1900693
134.9871787,140.204096,148.5103573
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
100.0826027,105.658352,103.828928
160.8346044,168.4441067,167.68016
87.66903467,89.84448533,87.74510933
105.1050293,123.2148107,128.2763147
151.5096826,148.0333054,140.3852635
143.5604626,142.8543986,132.1097438
113.9025409,108.3074164,101.0600569
83.84542349,136.9499004,126.3330676
146.090427,137.3925338,137.4818363
95.21671886,94.26163701,89.95905338
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
72.34471467,71.97516267,63.54474133
0,0,0
147.1796877,149.0914354,144.0268889
138.7375307,141.6199413,124.487664
99.94620267,100.5871627,113.300448
113.9062491,82.56203559,60.91058363
68.47764413,94.55333096,47.3661637
138.3330773,132.8386187,99.02330667
120.852497,138.6963758,135.7550545
135.5612793,152.7257237,121.1371351
102.799089,103.319879,93.0356726
116.816484,118.8811601,103.4742064
107.3687402,116.0535445,81.1678363
151.7503844,154.8723063,148.0157538
126.5293973,124.1219893,105.421696
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
97.38976533,108.6568533,65.890976
83.363872,91.379072,65.835616
104.5689067,113.264192,107.116832
70.68946133,73.874864,71.443216
116.8688449,107.4019358,105.7928449
90.01254,119.43694,134.50264
121.6120533,132.2048,104.0483253
85.77086121,83.13295374,71.10444128
101.425904,118.2981387,138.2249813
73.71477867,48.79349333,19.81632
110.0645319,119.2155248,93.33442553
86.666288,89.910288,81.91357867
116.0150284,125.2637518,101.4791844
148.6735467,152.1787253,140.564208
109.5250355,116.0762128,120.7046738
68.44777936,85.47137367,97.28527402
111.0181813,122.4752213,80.97373333
102.4896427,106.37848,105.3372747
114.5016584,117.6485053,94.8734306
114.4064907,120.758496,128.9792853
71.54271886,75.2387758,68.9746548
176.0553574,177.0415616,175.6452192
138.2232384,141.9727117,146.5298007
118.5508053,115.85608,93.87667733
107.0882773,123.345584,110.723536
106.8064,119.9444267,103.0428373
119.1084069,113.3907941,106.3181765
120.0700357,121.43105,81.77930714
98.40728114,109.3093665,81.07946619
69.78985765,57.56166548,43.19308897
104.267712,104.747424,90.62885333
69.58004982,71.90869039,48.07333808
97.52697067,100.6979467,97.79528
107.0171307,112.3116747,110.2816373
93.526944,94.235136,72.43894933
76.30303467,78.406688,68.20616
74.26648,94.22893333,101.787136
119.1084069,113.3907941,106.3181765
120.0700357,121.43105,81.77930714
98.40728114,109.3093665,81.07946619
69.58004982,71.90869039,48.07333808
104.267712,104.747424,90.62885333
97.52697067,100.6979467,97.79528
107.0171307,112.3116747,110.2816373
93.526944,94.235136,72.43894933
76.30303467,78.406688,68.20616
100.7591787,119.4325067,116.3264213
109.5167307,116.3551093,115.238832
102.8716107,123.2250453,105.491488
100.6708587,105.0379733,93.59850133
85.04298667,114.494464,120.8835307
79.55094933,87.14762667,80.09389333
82.79943467,106.5210347,95.417184
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
139.1117224,138.290669,131.414669
123.17521,130.3035943,97.93168683
109.950688,110.25352,101.3430613
105.842048,107.456464,92.322832
80.45039467,80.058048,72.19513067
99.91937067,99.77994133,96.00657067
100.7376726,117.6973096,70.08177224
84.86534933,98.016672,91.12585067
86.21321067,101.7494027,106.3328107
75.28908897,79.18866192,68.40236299
88.18837867,94.71933333,74.60728
129.9571174,133.2526619,128.0412527
110.5696157,112.9823701,113.1668826
97.69469039,103.2330747,90.35496085
71.287392,81.99822933,53.15426667
86.03501867,100.7601013,110.413152
115.4705338,125.011516,93.86208541
107.6266187,119.4618933,123.0611573
97.4416726,111.0624911,95.68424911
108.1269039,117.9200356,111.832
123.6443413,115.5972107,101.9634773
108.386688,102.382016,89.939392
165.500847,168.568363,152.1528683
97.67900369,90.22580812,53.81594834
105.9592811,97.05488968,82.5132669
116.0691317,128.4458149,142.4276512
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
139.1117224,138.290669,131.414669
123.17521,130.3035943,97.93168683
109.950688,110.25352,101.3430613
105.842048,107.456464,92.322832
80.45039467,80.058048,72.19513067
99.91937067,99.77994133,96.00657067
100.7376726,117.6973096,70.08177224
84.86534933,98.016672,91.12585067
86.21321067,101.7494027,106.3328107
75.28908897,79.18866192,68.40236299
88.18837867,94.71933333,74.60728
129.9571174,133.2526619,128.0412527
110.5696157,112.9823701,113.1668826
97.69469039,103.2330747,90.35496085
71.287392,81.99822933,53.15426667
86.03501867,100.7601013,110.413152
115.4705338,125.011516,93.86208541
107.6266187,119.4618933,123.0611573
97.4416726,111.0624911,95.68424911
108.1269039,117.9200356,111.832
123.6443413,115.5972107,101.9634773
108.386688,102.382016,89.939392
165.500847,168.568363,152.1528683
97.67900369,90.22580812,53.81594834
105.9592811,97.05488968,82.5132669
134.4230676,104.0372313,107.0208256
139.5660142,144.4071459,138.8168968
129.1673096,130.6442633,122.6775658
116.8688449,107.4019358,105.7928449
90.01254,119.43694,134.50264
107.3699787,91.13734933,95.49928
111.0181813,122.4752213,80.97373333
102.4896427,106.37848,105.3372747
114.5016584,117.6485053,94.8734306
114.4064907,120.758496,128.9792853
71.54271886,75.2387758,68.9746548
176.0553574,177.0415616,175.6452192
138.2232384,141.9727117,146.5298007
118.5508053,115.85608,93.87667733
107.0882773,123.345584,110.723536
106.8064,119.9444267,103.0428373
74.26648,94.22893333,101.787136
100.7591787,119.4325067,116.3264213
109.5167307,116.3551093,115.238832
102.8716107,123.2250453,105.491488
100.6708587,105.0379733,93.59850133
85.04298667,114.494464,120.8835307
79.55094933,87.14762667,80.09389333
82.79943467,106.5210347,95.417184
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
139.1117224,138.290669,131.414669
123.17521,130.3035943,97.93168683
110.5696157,112.9823701,113.1668826
97.4416726,111.0624911,95.68424911
108.1269039,117.9200356,111.832
123.6443413,115.5972107,101.9634773
108.386688,102.382016,89.939392
165.500847,168.568363,152.1528683
97.67900369,90.22580812,53.81594834
105.9592811,97.05488968,82.5132669
0,0,0
107.9306347,108.9916587,94.48050133
121.5642776,102.382911,75.74732384
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
115.27496,114.7701013,109.026608
122.735684,134.76262,124.469672
96.70146133,100.3455253,89.827104
113.59,121.8424267,84.13838933
98.28661867,91.89754133,75.54448533
87.06516267,96.566144,63.51621333
117.2689227,118.59536,110.5717973
139.0211652,150.299027,165.2883483
157.7330534,150.2511246,140.461516
117.9847616,116.6892883,112.3236726
90.66730488,93.59613415,127.0417927
106.6168968,114.8464413,117.2902349
125.3223416,135.6303132,106.357637
130.6366263,133.135758,109.7032669
139.3905329,146.1719042,146.4577725
0,0,0
0,0,0
0,0,0
139.1117224,138.290669,131.414669
123.17521,130.3035943,97.93168683
110.5696157,112.9823701,113.1668826
97.4416726,111.0624911,95.68424911
108.1269039,117.9200356,111.832
123.6443413,115.5972107,101.9634773
108.386688,102.382016,89.939392
165.500847,168.568363,152.1528683
97.67900369,90.22580812,53.81594834
105.9592811,97.05488968,82.5132669
123.17521,130.3035943,97.93168683
114.8906827,115.239776,111.6396853
104.7661013,114.1365973,71.41605867
124.399552,121.2460747,116.2861653
85.766112,88.857264,54.694912
101.9880693,80.25933333,40.74125333
95.93058667,90.710224,86.90530667
117.4966453,138.0735627,87.18862933
133.751056,113.6642453,118.7027307
134.5414133,172.6387733,78.70146133
86.63741867,93.27134933,67.8084
103.5667307,110.08696,86.728784
129.0765067,130.1999573,124.988704
104.8829609,108.379153,101.3778648
88.33590933,77.43976,43.94229867
110.6351893,112.8949173,96.98386133
104.6881333,106.0734827,89.88746133
62.77863467,64.050672,44.53966933
126.409168,131.0380107,118.70504
158.6781653,161.9688,148.764
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
121.6578161,129.3817011,77.30297701
147.920304,133.5291413,123.0751253
90.480624,97.48403733,67.89573867
117.1456441,109.9451174,102.0176584
125.3991601,133.2448612,103.1338221
117.724672,133.837968,53.86716267
113.9199093,128.2999467,73.331552
96.87208541,118.7795302,65.07263345
65.85651246,78.24965836,47.86162278
109.70936,136.738536,69.204396
0,0,0
107.9306347,108.9916587,94.48050133
121.5642776,102.382911,75.74732384
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
98.65949499,97.45467335,84.37801603
103.4153096,98.76708185,92.85444128
163.4340657,151.5001493,149.1836776
120.3215587,121.7252811,94.73349466
149.8046925,142.0329731,127.5480955
82.324576,86.95127467,87.34071467
141.0539164,149.9317194,132.9338985
95.24937313,98.38432836,91.95326567
128.717968,143.6928853,146.1423733
156.2773973,155.1138933,144.9883787
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
117.5330293,118.7517387,106.8730773
164.7311032,166.265694,155.1094235
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
131.4846933,144.4039093,149.4780853
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
