R,G,B,Lat,Lon,cluster
129.911991459167,134.443227070309,125.389647229549,1.159383303,103.7366668,8
130.411668011904,134.731783344732,124.469946257573,1.163424757,103.7436668,8
161.668201049319,149.266313685,127.406898509909,1.167466211,103.7366668,7
54.5954177144454,70.1835708298407,58.61888795753,1.171507664,103.7296668,1
152.401820546164,112.113350671868,81.3287819679237,1.179590572,103.7296668,4
62.8452523155891,169.983241419751,146.198063883264,1.187673479,103.7296668,6
79.0998265129493,155.256562434474,142.295257313776,1.191714933,103.7366668,6
108.555774639523,108.041014798604,106.80559395165,1.191714933,103.7646668,3
166.945516811955,189.517330842673,211.810606060606,1.191714933,103.7786668,7
129.329843266016,119.869282700543,105.461173046271,1.195756387,103.7576668,4
125.890947287725,146.310045026996,157.995856322696,1.199797841,103.7086668,6
129.684645610245,119.798322404337,105.836585057135,1.199797841,103.7646668,4
132.412317327766,92.0687444079928,71.5408589322994,1.199797841,103.7926668,2
133.100375738057,161.511540526033,180.096484165325,1.203839294,103.7296668,7
129.329843266016,119.869282700543,105.461173046271,1.203839294,103.7576668,4
122.309583670475,126.840287888662,118.967146708863,1.203839294,103.7716668,8
128.018779924647,125.691159694603,126.615263452337,1.203839294,103.7996668,8
130.043096134048,120.343105588077,134.930696712944,1.207880748,103.6386667,6
161.594477992485,171.149237341206,165.90726986044,1.207880748,103.7226668,7
124.538111615466,130.591322716575,113.211232704049,1.207880748,103.7646668,8
120.687019288928,125.053625185904,117.267543062009,1.207880748,103.7786668,3
137.166901976603,169.007966922146,186.262505042356,1.211922202,103.6316667,7
126.48119321277,96.0106749210425,109.264792548238,1.211922202,103.6456667,3
148.510925804,118.737076263982,107.843230819164,1.211922202,103.7296668,8
122.286651998983,121.207932108151,107.600414215125,1.211922202,103.7576668,3
122.584420881421,126.239702559167,118.833236660408,1.211922202,103.7716668,8
131.065611379746,129.746951298256,92.9223464352169,1.211922202,103.7856668,4
133.459931529757,150.993619670887,159.831125617625,1.215963656,103.6386667,6
150.712432956277,112.62643851226,97.5213374839982,1.215963656,103.7226668,4
132.16585907721,129.798437608756,119.568443830389,1.215963656,103.8346668,8
130.095245694174,129.523332335727,112.96257100569,1.215963656,103.8486668,8
175.773027869627,199.693434104865,208.185403873406,1.22000511,103.6036667,7
123.468750923514,142.870916296787,154.636666211403,1.22000511,103.6736667,6
133.008660781674,131.869701357338,118.492050889878,1.22000511,103.7576668,8
120.408035773027,121.003198233815,105.842304580089,1.22000511,103.8416668,3
131.232033097783,133.181796670353,116.430631189466,1.22000511,103.8556668,8
134.135070277683,85.7557422008913,68.8764141241001,1.224046563,103.6246667,2
160.941560034289,159.950547613084,163.680481402858,1.224046563,103.6666667,7
105.46543576037,132.781432659332,141.992259210874,1.224046563,103.6806667,6
132.242209273636,125.978211160329,106.794867801601,1.224046563,103.7506668,8
113.523672251888,120.802025397599,113.493710569646,1.224046563,103.7646668,3
124.555009450034,105.701358786585,102.747828153184,1.224046563,103.7786668,5
121.184815137273,123.293512627037,110.008448827465,1.224046563,103.8486668,3
133.348349689957,133.385217127488,115.199134889722,1.224046563,103.8626668,8
175.773027869627,199.693434104865,208.185403873406,1.228088017,103.6036667,7
131.504447204281,109.952819975701,92.325425875956,1.228088017,103.6176667,4
123.244305963043,153.998436728021,168.16210645226,1.228088017,103.6736667,6
132.901039262327,126.742412380204,107.409740887543,1.228088017,103.7436668,8
106.408362829253,101.095096268625,96.4817526171674,1.228088017,103.7576668,2
123.070729451198,113.407193699551,105.426497986309,1.228088017,103.7716668,3
120.226168905996,120.879803231744,106.829998960528,1.228088017,103.8416668,3
129.492446148046,128.620647349289,116.586107494365,1.228088017,103.8556668,8
128.873824130879,134.149897750511,115.774437627812,1.232129471,103.6106667,8
131.504447204281,109.952819975701,92.325425875956,1.232129471,103.6246667,4
103.012658061121,116.547659014819,133.793089220275,1.232129471,103.6666667,3
82.1586051743532,119.518560179978,134.226096737908,1.232129471,103.6806667,3
137.007001385365,154.183790578295,167.185440901335,1.232129471,103.7366668,6
137.125957508183,143.982553564037,139.529242664243,1.232129471,103.7646668,6
122.289334847346,99.3596003383169,87.3078229356732,1.232129471,103.7786668,5
136.521667721365,127.392996072798,110.062947000618,1.232129471,103.8346668,8
127.645202691617,127.039163907604,117.282344101608,1.232129471,103.8486668,8
120.51708420436,127.455986575585,98.331711761243,1.232129471,103.8626668,4
131.504447204281,109.952819975701,92.325425875956,1.236170925,103.6176667,4
133.270190035979,131.870098179737,141.328609153582,1.236170925,103.6456667,6
82.1586051743532,119.518560179978,134.226096737908,1.236170925,103.6736667,3
60.5789473684211,62.9858793324775,77.8831835686778,1.236170925,103.6876668,1
141.083392708,157.06907267253,166.379138354145,1.236170925,103.7436668,7
155.591158841415,142.877452328373,112.545196543447,1.236170925,103.7576668,8
130.821418343092,120.948420180571,106.916230078286,1.236170925,103.7716668,4
130.856306391689,122.072502589259,110.257351056998,1.236170925,103.8276668,8
135.046520266769,112.077203611971,104.149451763445,1.236170925,103.8416668,4
130.891627687413,124.335484257167,108.641625711943,1.236170925,103.8556668,8
132.140909168125,139.452867418786,152.014078367081,1.240212378,103.6526667,6
89.2147584381205,98.4139642620781,109.488583719391,1.240212378,103.6666667,3
60.5789473684211,62.9858793324775,77.8831835686778,1.240212378,103.6806667,1
135.411946169053,139.027844868298,128.744025840203,1.240212378,103.7646668,6
136.564571384381,125.468911207023,110.772341691915,1.240212378,103.8346668,8
133.080960982961,114.317187444052,108.606176977268,1.240212378,103.8486668,4
89.2147584381205,98.4139642620781,109.488583719391,1.244253832,103.6596667,3
95.0837297811608,111.875356803045,123.917856010149,1.244253832,103.6736667,3
60.5789473684211,62.9858793324775,77.8831835686778,1.244253832,103.6876668,1
134.742377704272,127.619050769328,114.068164198146,1.244253832,103.8276668,8
124.498484670706,117.300119780727,104.641035894399,1.244253832,103.8416668,3
118.062468009466,127.11510763983,128.965671864104,1.244253832,103.8556668,8
146.665492112511,128.284460709282,137.162232185298,1.248295286,103.6106667,6
95.0837297811608,111.875356803045,123.917856010149,1.248295286,103.6666667,3
95.0837297811608,111.875356803045,123.917856010149,1.248295286,103.6806667,3
123.718896947112,108.6172932205,94.7701782515148,1.248295286,103.8206668,5
110.614673460269,105.727415697261,90.1441267883727,1.248295286,103.8346668,2
128.947719131207,113.89494109429,101.054344266145,1.248295286,103.8486668,4
148.245973805584,131.505087755084,140.138217717221,1.25233674,103.6036667,6
135.520875420875,118.081313131313,111.423400673401,1.25233674,103.6176667,8
95.0837297811608,111.875356803045,123.917856010149,1.25233674,103.6736667,3
121.532811211465,117.002710994209,61.8466047833164,1.25233674,103.7016668,2
149.851120114199,133.405477830983,120.844641134867,1.25233674,103.7856668,8
118.835828631594,112.231806330282,103.432245156152,1.25233674,103.8136668,3
111.913785820276,102.173061744801,90.7550812959355,1.25233674,103.8276668,2
121.140551496513,113.848330536903,99.3629471093799,1.25233674,103.8416668,5
145.217183867738,132.428679851132,138.57240772233,1.256378193,103.6106667,6
122.136405917862,118.775460232856,58.3750446670582,1.256378193,103.6946668,2
148.051632123756,141.932819282422,101.281447883449,1.256378193,103.7086668,8
140.736507570175,130.839465423501,112.002390587527,1.256378193,103.7786668,8
109.535560275993,112.527370130009,118.660346501364,1.256378193,103.8066668,3
120.589563215267,106.618636202033,100.489326546885,1.256378193,103.8206668,5
108.938007379264,107.814904903277,90.7079684679279,1.256378193,103.8346668,2
104.409001784217,105.807274250823,101.088621964468,1.256378193,103.8486668,3
132.616010470295,131.567169923393,136.604306713944,1.260419647,103.6036667,6
171.537391683336,160.036983501481,152.965840824829,1.260419647,103.6176667,7
149.086299744536,147.682942713035,131.085138250153,1.260419647,103.6316667,6
142.058994818579,139.879133372142,99.1626053467203,1.260419647,103.7016668,8
170.150649550666,162.7079095226,134.14381713356,1.260419647,103.7156668,7
115.946458122208,117.453473848941,115.853147642908,1.260419647,103.7856668,3
110.58368154471,113.534582921526,113.18984149733,1.260419647,103.8136668,3
127.170530507917,109.710341431894,91.6583328178266,1.260419647,103.8276668,5
118.605638233767,115.126183918103,103.344041518402,1.260419647,103.8416668,3
118.366975348755,124.906722141259,119.715743901887,1.260419647,103.8556668,3
152.867874094757,144.786663434088,141.555648211777,1.264461101,103.6106667,6
152.079776108693,150.583840040307,138.805091116505,1.264461101,103.6246667,6
135.314198868221,147.656214644248,113.121130696572,1.264461101,103.6946668,8
170.079137830415,146.85634937188,118.443210850844,1.264461101,103.7086668,8
124.117842961445,70.2623286793903,17.3879851415396,1.264461101,103.7786668,1
126.159257810435,115.723658690628,105.456880712586,1.264461101,103.7926668,4
113.385426704524,109.959296810942,92.1905153309012,1.264461101,103.8066668,5
108.532706102187,108.428080594614,101.136886547836,1.264461101,103.8206668,3
124.019955558083,112.695632300498,103.403625286552,1.264461101,103.8346668,3
117.91245082856,118.111409305597,114.679274373147,1.264461101,103.8486668,3
124.516956428979,120.353639291288,114.241351819254,1.264461101,103.8626668,3
133.088476374156,120.385245901639,138.408148505304,1.268502555,103.6036667,6
135.11251159668,136.052703179853,132.972774998401,1.268502555,103.6176667,6
148.068680348862,147.225718639401,137.84168718319,1.268502555,103.6316667,6
148.297417188856,135.46759505407,103.341456042387,1.268502555,103.7016668,8
123.368069774388,84.1412987832006,98.8889462373895,1.268502555,103.7156668,5
107.578822427678,119.29585577542,105.183176006533,1.268502555,103.7716668,3
101.943776079017,98.5542273323761,92.4327331968698,1.268502555,103.7856668,2
116.969715690847,113.963703708172,88.9386108087192,1.268502555,103.7996668,5
110.00919427584,110.902374535157,101.23075508885,1.268502555,103.8136668,3
118.664391317665,112.51584812999,101.42328869361,1.268502555,103.8276668,3
127.734674712961,115.030130217563,97.3453126863329,1.268502555,103.8416668,4
125.324820926568,120.793092467175,113.633182236903,1.268502555,103.8556668,8
135.253930648288,102.810251992246,93.0260607365927,1.272544009,103.6106667,4
130.097721957154,120.954744886235,111.230745020138,1.272544009,103.6246667,8
134.454147671458,137.849131725763,152.710304573376,1.272544009,103.6386667,6
135.314198868221,147.656214644248,113.121130696572,1.272544009,103.6946668,8
146.652092082151,99.6472639268205,92.9654722614005,1.272544009,103.7086668,4
131.887966807454,116.713333021023,102.070566770608,1.272544009,103.7226668,4
166.973695920975,155.191068642624,136.644978040003,1.272544009,103.7366668,7
118.771948615688,112.320918500034,98.4255184642959,1.272544009,103.7646668,5
126.699886345764,117.258796390664,92.259688824664,1.272544009,103.7926668,5
115.392868592583,111.003010622851,89.9462897911009,1.272544009,103.8066668,5
109.544966132918,108.913157798175,96.865512000018,1.272544009,103.8206668,3
121.933948627207,116.503648332988,101.623007293366,1.272544009,103.8346668,3
128.711717876481,113.788435219305,96.3398404284425,1.272544009,103.8486668,4
