cluster,Lat,Lon,hexColor
Blue,1.191714933,103.7646668,#5A6986
Blue,1.191714933,103.7786668,#5A6986
Blue,1.215963656,103.8486668,#5A6986
Blue,1.22000511,103.6736667,#5A6986
Blue,1.224046563,103.6666667,#5A6986
Blue,1.224046563,103.7786668,#5A6986
Blue,1.228088017,103.6176667,#5A6986
Blue,1.228088017,103.6736667,#5A6986
Blue,1.232129471,103.6106667,#5A6986
Blue,1.232129471,103.6246667,#5A6986
Blue,1.232129471,103.6666667,#5A6986
Blue,1.236170925,103.6176667,#5A6986
Blue,1.236170925,103.7436668,#5A6986
Blue,1.248295286,103.6106667,#5A6986
Blue,1.25233674,103.6036667,#5A6986
Blue,1.25233674,103.6176667,#5A6986
Blue,1.25233674,103.8136668,#5A6986
Blue,1.256378193,103.6106667,#5A6986
Blue,1.256378193,103.8066668,#5A6986
Blue,1.260419647,103.6036667,#5A6986
Blue,1.260419647,103.6176667,#5A6986
Blue,1.260419647,103.7856668,#5A6986
Blue,1.260419647,103.8136668,#5A6986
Blue,1.264461101,103.6106667,#5A6986
Blue,1.264461101,103.6246667,#5A6986
Blue,1.264461101,103.7926668,#5A6986
Blue,1.264461101,103.8206668,#5A6986
Blue,1.264461101,103.8346668,#5A6986
Blue,1.264461101,103.8486668,#5A6986
Blue,1.264461101,103.8626668,#5A6986
Blue,1.268502555,103.6176667,#5A6986
Blue,1.268502555,103.6316667,#5A6986
Blue,1.268502555,103.8136668,#5A6986
Blue,1.268502555,103.8276668,#5A6986
Blue,1.268502555,103.8556668,#5A6986
Blue,1.272544009,103.6246667,#5A6986
Blue,1.272544009,103.8066668,#5A6986
Blue,1.272544009,103.8206668,#5A6986
Blue,1.272544009,103.8626668,#5A6986
Blue,1.276585462,103.6176667,#5A6986
Blue,1.276585462,103.7996668,#5A6986
Blue,1.276585462,103.8136668,#5A6986
Blue,1.276585462,103.8696668,#5A6986
Blue,1.280626916,103.6246667,#5A6986
Blue,1.280626916,103.6526667,#5A6986
Blue,1.280626916,103.8206668,#5A6986
Blue,1.280626916,103.8766668,#5A6986
Blue,1.28466837,103.8136668,#5A6986
Blue,1.288709824,103.6246667,#5A6986
Blue,1.288709824,103.6526667,#5A6986
Blue,1.288709824,103.7506668,#5A6986
Blue,1.288709824,103.8766668,#5A6986
Blue,1.292751277,103.6176667,#5A6986
Blue,1.292751277,103.6316667,#5A6986
Blue,1.292751277,103.8136668,#5A6986
Blue,1.292751277,103.8696668,#5A6986
Blue,1.292751277,103.8836668,#5A6986
Blue,1.296792731,103.6246667,#5A6986
Blue,1.296792731,103.6526667,#5A6986
Blue,1.296792731,103.6806667,#5A6986
Blue,1.296792731,103.7366668,#5A6986
Blue,1.296792731,103.7506668,#5A6986
Blue,1.296792731,103.8066668,#5A6986
Blue,1.296792731,103.8626668,#5A6986
Blue,1.296792731,103.8766668,#5A6986
Blue,1.296792731,103.8906668,#5A6986
Blue,1.300834185,103.6176667,#5A6986
Blue,1.300834185,103.6316667,#5A6986
Blue,1.300834185,103.6456667,#5A6986
Blue,1.300834185,103.6596667,#5A6986
Blue,1.300834185,103.6736667,#5A6986
Blue,1.300834185,103.6876668,#5A6986
Blue,1.300834185,103.7296668,#5A6986
Blue,1.300834185,103.7436668,#5A6986
Blue,1.300834185,103.8556668,#5A6986
Blue,1.300834185,103.8696668,#5A6986
Blue,1.304875639,103.6386667,#5A6986
Blue,1.304875639,103.6526667,#5A6986
Blue,1.304875639,103.6806667,#5A6986
Blue,1.304875639,103.7366668,#5A6986
Blue,1.308917092,103.6456667,#5A6986
Blue,1.308917092,103.7156668,#5A6986
Blue,1.308917092,103.7716668,#5A6986
Blue,1.308917092,103.7996668,#5A6986
Blue,1.308917092,103.8556668,#5A6986
Blue,1.308917092,103.9256669,#5A6986
Blue,1.312958546,103.6526667,#5A6986
Blue,1.312958546,103.6806667,#5A6986
Blue,1.312958546,103.7366668,#5A6986
Blue,1.312958546,103.7926668,#5A6986
Blue,1.312958546,103.8906668,#5A6986
Blue,1.312958546,103.9606669,#5A6986
Blue,1.312958546,104.0166669,#5A6986
Blue,1.317,103.6456667,#5A6986
Blue,1.317,103.7436668,#5A6986
Blue,1.317,103.7996668,#5A6986
Blue,1.317,103.8836668,#5A6986
Blue,1.317,103.9536669,#5A6986
Blue,1.317,104.0096669,#5A6986
Blue,1.317,104.0236669,#5A6986
Blue,1.321041454,103.6526667,#5A6986
Blue,1.321041454,103.8766668,#5A6986
Blue,1.321041454,103.9606669,#5A6986
Blue,1.321041454,104.0166669,#5A6986
Blue,1.325082908,103.6456667,#5A6986
Blue,1.325082908,103.9676669,#5A6986
Blue,1.325082908,103.9956669,#5A6986
Blue,1.325082908,104.0096669,#5A6986
Blue,1.329124361,103.7646668,#5A6986
Blue,1.329124361,103.8346668,#5A6986
Blue,1.329124361,103.9186669,#5A6986
Blue,1.329124361,103.9606669,#5A6986
Blue,1.329124361,104.0026669,#5A6986
Blue,1.329124361,104.0166669,#5A6986
Blue,1.333165815,103.8276668,#5A6986
Blue,1.333165815,103.9116669,#5A6986
Blue,1.333165815,103.9536669,#5A6986
Blue,1.333165815,103.9676669,#5A6986
Blue,1.337207269,103.6386667,#5A6986
Blue,1.337207269,103.6806667,#5A6986
Blue,1.337207269,103.8346668,#5A6986
Blue,1.337207269,103.8906668,#5A6986
Blue,1.337207269,103.9046669,#5A6986
Blue,1.337207269,103.9606669,#5A6986
Blue,1.337207269,104.0026669,#5A6986
Blue,1.337207269,104.0866669,#5A6986
Blue,1.341248723,103.6316667,#5A6986
Blue,1.341248723,103.6736667,#5A6986
Blue,1.341248723,103.7856668,#5A6986
Blue,1.341248723,103.8276668,#5A6986
Blue,1.341248723,103.8416668,#5A6986
Blue,1.341248723,103.8976668,#5A6986
Blue,1.341248723,103.9116669,#5A6986
Blue,1.341248723,103.9536669,#5A6986
Blue,1.341248723,103.9676669,#5A6986
Blue,1.341248723,103.9956669,#5A6986
Blue,1.341248723,104.0796669,#5A6986
Blue,1.345290176,103.6386667,#5A6986
Blue,1.345290176,103.7506668,#5A6986
Blue,1.345290176,103.8066668,#5A6986
Blue,1.345290176,103.8206668,#5A6986
Blue,1.345290176,103.8906668,#5A6986
Blue,1.345290176,103.9046669,#5A6986
Blue,1.34933163,103.6316667,#5A6986
Blue,1.34933163,103.7296668,#5A6986
Blue,1.34933163,103.7576668,#5A6986
Blue,1.34933163,103.8136668,#5A6986
Blue,1.34933163,103.8976668,#5A6986
Blue,1.34933163,103.9396669,#5A6986
Blue,1.34933163,103.9536669,#5A6986
Blue,1.34933163,103.9676669,#5A6986
Blue,1.353373084,103.7506668,#5A6986
Blue,1.353373084,103.9466669,#5A6986
Blue,1.353373084,104.0306669,#5A6986
Blue,1.357414538,103.7576668,#5A6986
Blue,1.357414538,103.8556668,#5A6986
Blue,1.357414538,103.9396669,#5A6986
Blue,1.357414538,104.0376669,#5A6986
Blue,1.357414538,104.0516669,#5A6986
Blue,1.361455991,103.7506668,#5A6986
Blue,1.361455991,103.8626668,#5A6986
Blue,1.365497445,103.6876668,#5A6986
Blue,1.365497445,103.7296668,#5A6986
Blue,1.365497445,103.7996668,#5A6986
Blue,1.365497445,104.0096669,#5A6986
Blue,1.365497445,104.0516669,#5A6986
Blue,1.365497445,104.0656669,#5A6986
Blue,1.369538899,103.6806667,#5A6986
Blue,1.369538899,103.6946668,#5A6986
Blue,1.369538899,103.7506668,#5A6986
Blue,1.369538899,104.0586669,#5A6986
Blue,1.369538899,104.0726669,#5A6986
Blue,1.373580353,103.6876668,#5A6986
Blue,1.373580353,103.7016668,#5A6986
Blue,1.373580353,103.7296668,#5A6986
Blue,1.373580353,103.7436668,#5A6986
Blue,1.373580353,103.7576668,#5A6986
Blue,1.373580353,103.7996668,#5A6986
Blue,1.373580353,104.0656669,#5A6986
Blue,1.373580353,104.0796669,#5A6986
Blue,1.377621807,103.6946668,#5A6986
Blue,1.377621807,103.7226668,#5A6986
Blue,1.377621807,103.7506668,#5A6986
Blue,1.377621807,103.7646668,#5A6986
Blue,1.377621807,104.0586669,#5A6986
Blue,1.377621807,104.0726669,#5A6986
Blue,1.38166326,103.7296668,#5A6986
Blue,1.38166326,103.7436668,#5A6986
Blue,1.38166326,103.7576668,#5A6986
Blue,1.38166326,103.7716668,#5A6986
Blue,1.38166326,103.9116669,#5A6986
Blue,1.38166326,103.9816669,#5A6986
Blue,1.38166326,104.0236669,#5A6986
Blue,1.385704714,103.7646668,#5A6986
Blue,1.385704714,104.0026669,#5A6986
Blue,1.389746168,103.6876668,#5A6986
Blue,1.389746168,103.7296668,#5A6986
Blue,1.389746168,103.7576668,#5A6986
Blue,1.389746168,103.9816669,#5A6986
Blue,1.389746168,103.9956669,#5A6986
Blue,1.393787622,103.6806667,#5A6986
Blue,1.393787622,103.6946668,#5A6986
Blue,1.393787622,103.9886669,#5A6986
Blue,1.393787622,104.0166669,#5A6986
Blue,1.393787622,104.0726669,#5A6986
Blue,1.397829075,103.6876668,#5A6986
Blue,1.397829075,103.9396669,#5A6986
Blue,1.397829075,103.9536669,#5A6986
Blue,1.397829075,103.9676669,#5A6986
Blue,1.397829075,104.0796669,#5A6986
Blue,1.401870529,103.8346668,#5A6986
Blue,1.401870529,103.9746669,#5A6986
Blue,1.401870529,103.9886669,#5A6986
Blue,1.401870529,104.0166669,#5A6986
Blue,1.401870529,104.0726669,#5A6986
Blue,1.405911983,103.8276668,#5A6986
Blue,1.405911983,103.9676669,#5A6986
Blue,1.405911983,103.9956669,#5A6986
Blue,1.409953437,103.7226668,#5A6986
Blue,1.409953437,103.7366668,#5A6986
Blue,1.409953437,103.8346668,#5A6986
Blue,1.409953437,103.9046669,#5A6986
Blue,1.409953437,103.9886669,#5A6986
