Lat,Lon,R.avg,G.avg,B.avg,avgHexColor
1.159383303,103.7366668,177.8,185.555555555556,188.777777777778,#B1B9BC
1.163424757,103.7436668,179.139534883721,185.790697674419,188.139534883721,#B3B9BC
1.167466211,103.7366668,218.25,223.5,215.25,#DADFD7
1.171507664,103.7296668,236,236,226,#ECECE2
1.179590572,103.7296668,6,7,9,#060709
1.187673479,103.7296668,6,7,9,#060709
1.191714933,103.7366668,82.6666666666667,79.6666666666667,72.6666666666667,#524F48
1.191714933,103.7646668,100.686274509804,106.862745098039,112.058823529412,#646A70
1.191714933,103.7786668,177,198,227,#B1C6E3
1.195756387,103.7576668,154.038626609442,151.351931330472,145.841201716738,#9A9791
1.199797841,103.7086668,151,181.25,204.875,#97B5CC
1.199797841,103.7646668,156.260683760684,153.542735042735,148.34188034188,#9C9994
1.199797841,103.7926668,255,255,255,#FFFFFF
1.203839294,103.7296668,255,255,255,#FFFFFF
1.203839294,103.7576668,154.038626609442,151.351931330472,145.841201716738,#9A9791
1.203839294,103.7716668,132.771428571429,141.071428571429,143.185714285714,#848D8F
1.203839294,103.7996668,192.333333333333,201.666666666667,206.666666666667,#C0C9CE
1.207880748,103.6386667,205.333333333333,213.333333333333,219.333333333333,#CDD5DB
1.207880748,103.7226668,254,254,236,#FEFEEC
1.207880748,103.7646668,134.654761904762,142.119047619048,145.285714285714,#868E91
1.207880748,103.7786668,135.028985507246,143.797101449275,147.492753623188,#878F93
1.211922202,103.6316667,181,203,217,#B5CBD9
1.211922202,103.6456667,217.5,218.5,220.5,#D9DADC
1.211922202,103.7296668,232,232.5,227.333333333333,#E8E8E3
1.211922202,103.7576668,118.987394957983,127.579831932773,127.033613445378,#767F7F
1.211922202,103.7716668,138.028169014085,145.845070422535,149.183098591549,#8A9195
1.211922202,103.7856668,98.6470588235294,119,92.4705882352941,#62775C
1.215963656,103.6386667,197.5,207.5,215,#C5CFD7
1.215963656,103.7226668,227.4,228,221.8,#E3E4DD
1.215963656,103.8346668,141.864754098361,144.536885245902,145.512295081967,#8D9091
1.215963656,103.8486668,152.11320754717,156.693396226415,159.202830188679,#989C9F
1.22000511,103.6036667,224,237,245,#E0EDF5
1.22000511,103.6736667,199.25,205.75,217.5,#C7CDD9
1.22000511,103.7576668,147.310126582279,155.196202531646,156.044303797468,#939B9C
1.22000511,103.8416668,138.369158878505,148.621495327103,155.420560747664,#8A949B
1.22000511,103.8556668,172.961206896552,182.159482758621,183.556034482759,#ACB6B7
1.224046563,103.6666667,208.2,215.6,224.8,#D0D7E0
1.224046563,103.6806667,186,188,190,#BABCBE
1.224046563,103.7506668,105.931818181818,111.602272727273,96.7386363636364,#696F60
1.224046563,103.7646668,205.090909090909,208,209.090909090909,#CDD0D1
1.224046563,103.7786668,148.444444444444,164.444444444444,179.444444444444,#94A4B3
1.224046563,103.8486668,143.789473684211,154.263157894737,160.765550239234,#8F9AA0
1.224046563,103.8626668,177.831683168317,189.648514851485,186.707920792079,#B1BDBA
1.228088017,103.6036667,224,237,245,#E0EDF5
1.228088017,103.6176667,144,160,186,#90A0BA
1.228088017,103.6736667,177,185.666666666667,194,#B1B9C2
1.228088017,103.7436668,104.022727272727,109.954545454545,95.4204545454546,#686D5F
1.228088017,103.7576668,109.333333333333,113,111,#6D716F
1.228088017,103.7716668,161.095238095238,172.238095238095,183.428571428571,#A1ACB7
1.228088017,103.8416668,140.409523809524,149.680952380952,156.909523809524,#8C959C
1.228088017,103.8556668,159.311111111111,161.768888888889,160.248888888889,#9FA1A0
1.232129471,103.6106667,144,160,186,#90A0BA
1.232129471,103.6246667,144,160,186,#90A0BA
1.232129471,103.6666667,152,168,193,#98A8C1
1.232129471,103.6806667,124,130,128,#7C8280
1.232129471,103.7366668,166.5,183.75,199.5,#A6B7C7
1.232129471,103.7646668,131,152.666666666667,160.5,#8398A0
1.232129471,103.7786668,112.272727272727,121.272727272727,129.636363636364,#707981
1.232129471,103.8346668,181.0625,181.65,180.775,#B5B5B4
1.232129471,103.8486668,147.337899543379,149.287671232877,147.762557077626,#939593
1.232129471,103.8626668,112.771428571429,137.028571428571,121.457142857143,#708979
1.236170925,103.6176667,144,160,186,#90A0BA
1.236170925,103.6456667,206.157894736842,213.789473684211,223.473684210526,#CED5DF
1.236170925,103.6736667,124,130,128,#7C8280
1.236170925,103.6876668,166,165,161,#A6A5A1
1.236170925,103.7436668,148,169,188,#94A9BC
1.236170925,103.7716668,105.333333333333,116.111111111111,119.444444444444,#697477
1.236170925,103.8276668,166.9625,167.908333333333,166.6625,#A6A7A6
1.236170925,103.8416668,160.446700507614,161.441624365482,164.304568527919,#A0A1A4
1.236170925,103.8556668,135.965034965035,134.034965034965,127.328671328671,#87867F
1.240212378,103.6526667,196,208.8,224.5,#C4D0E0
1.240212378,103.6806667,166,165,161,#A6A5A1
1.240212378,103.7646668,132.833333333333,150.666666666667,151.5,#849697
1.240212378,103.8346668,166.572033898305,166.347457627119,165.78813559322,#A6A6A5
1.240212378,103.8486668,140.12213740458,144.007633587786,146.75572519084,#8C9092
1.244253832,103.6736667,74,109,129,#4A6D81
1.244253832,103.6876668,166,165,161,#A6A5A1
1.244253832,103.8276668,154.334841628959,156.180995475113,154.642533936652,#9A9C9A
1.244253832,103.8416668,154.264705882353,157.93137254902,159.774509803922,#9A9D9F
1.244253832,103.8556668,130.166666666667,144.291666666667,153.666666666667,#829099
1.248295286,103.6106667,144.555555555556,146.555555555556,151.888888888889,#909297
1.248295286,103.6666667,74,109,129,#4A6D81
1.248295286,103.6806667,74,109,129,#4A6D81
1.248295286,103.8206668,164.417989417989,166.693121693122,168.544973544974,#A4A6A8
1.248295286,103.8346668,89.6826923076923,90.2307692307692,90.1346153846154,#595A5A
1.248295286,103.8486668,142.87,142.42,143.075,#8E8E8F
1.25233674,103.6036667,149.555555555556,155.777777777778,165.444444444444,#959BA5
1.25233674,103.6176667,25,23,36,#191724
1.25233674,103.6736667,74,109,129,#4A6D81
1.25233674,103.7016668,128.5,106.75,107,#806A6B
1.25233674,103.7856668,145.5,143,146.5,#918F92
1.25233674,103.8136668,150.005102040816,154.65306122449,158.260204081633,#969A9E
1.25233674,103.8276668,101.225641025641,100.707692307692,100.994871794872,#656464
1.25233674,103.8416668,139.709183673469,141.127551020408,141.913265306122,#8B8D8D
1.256378193,103.6106667,120,128.666666666667,141.066666666667,#78808D
1.256378193,103.6946668,128.5,106.75,107,#806A6B
1.256378193,103.7086668,167.125,157.25,149.875,#A79D95
1.256378193,103.7786668,98.5,101.5,107.5,#62656B
1.256378193,103.8066668,132.779816513761,141.417431192661,159.238532110092,#848D9F
1.256378193,103.8206668,135.225806451613,139.037634408602,142.887096774194,#878B8E
1.256378193,103.8346668,99.1485148514852,98.7623762376238,98.2425742574257,#636262
1.256378193,103.8486668,159.428571428571,167.142857142857,173.738095238095,#9FA7AD
