R,G,B,Lat,Lon
126.72999332456372,132.58024490725592,126.69770833724769,1.159383303,103.7366668
127.33266510710158,132.88393304247708,125.87368779479408,1.163424757,103.7436668
137.50105,132.212725,114.3578,1.167466211,103.7366668
96.6003,105.5472,95.1381,1.171507664,103.7296668
0,0,0,1.171507664,103.7436668
0,0,0,1.175549118,103.7366668
0,0,0,1.179590572,103.7156668
123.3006,103.2455,87.0594,1.179590572,103.7296668
0,0,0,1.183632026,103.7226668
0,0,0,1.187673479,103.7156668
54.098075,161.79755,142.568625,1.187673479,103.7296668
0,0,0,1.187673479,103.7716668
0,0,0,1.191714933,103.7226668
71.72036666666666,147.65413333333333,136.9063,1.191714933,103.7366668
107.548679245283,110.32964150943396,110.71988867924526,1.191714933,103.7646668
167.177,188.9736,210.5184,1.191714933,103.7786668
0,0,0,1.195756387,103.7296668
126.1396064,119.23487640000005,108.16811960000001,1.195756387,103.7576668
0,0,0,1.195756387,103.7716668
122.39707499999999,139.8211,148.29689999999997,1.199797841,103.7086668
0,0,0,1.199797841,103.7226668
126.25877400000005,118.94206600000004,108.29569799999999,1.199797841,103.7646668
0,0,0,1.199797841,103.7786668
147.7887,118.5284,103.818,1.199797841,103.7926668
0,0,0,1.203839294,103.7156668
135.831,159.0097,173.0406,1.203839294,103.7296668
126.13960640000005,119.23487640000006,108.1681196,1.203839294,103.7576668
118.30933584785545,123.32781110050134,116.39480109015679,1.203839294,103.7716668
0,0,0,1.203839294,103.7856668
118.46496666666667,122.30143333333335,119.72283333333333,1.203839294,103.7996668
136.92843333333334,139.74186666666665,149.88613333333333,1.207880748,103.6386667
0,0,0,1.207880748,103.7086668
162.9597901234568,169.8983170781893,162.3793277777778,1.207880748,103.7226668
116.10011182795691,121.88673548387094,108.11908709677421,1.207880748,103.7646668
116.12595635996765,121.4571312590799,115.27032682001612,1.207880748,103.7786668
0,0,0,1.207880748,103.7926668
0,0,0,1.211922202,103.6176667
136.3737,168.0015,185.1996,1.211922202,103.6316667
137.2058,125.61205000000001,132.2294,1.211922202,103.6456667
0,0,0,1.211922202,103.7156668
145.1497975308642,121.10076676954732,113.08216944444445,1.211922202,103.7296668
113.18095759999999,113.38885279999995,102.2764688000001,1.211922202,103.7576668
117.7930822806956,122.38482567540856,116.2681169586462,1.211922202,103.7716668
128.97311,129.1592,94.641085,1.211922202,103.7856668
0,0,0,1.215963656,103.6106667
0,0,0,1.215963656,103.6246667
132.64665000000002,150.40455,159.34570000000002,1.215963656,103.6386667
0,0,0,1.215963656,103.7086668
146.48105432098765,115.68520487948264,104.51667936507936,1.215963656,103.7226668
125.6839482337194,124.53175923086256,116.67760882353909,1.215963656,103.8346668
126.11205452091015,126.79787338621843,114.42597641792382,1.215963656,103.8486668
170.5162,195.1994,202.8462,1.22000511,103.6036667
0,0,0,1.22000511,103.6176667
0,0,0,1.22000511,103.6316667
129.6549865120275,147.20364295532647,157.37014458762886,1.22000511,103.6736667
126.48031856287429,126.35153353293411,115.66471437125749,1.22000511,103.7576668
111.56127564979923,112.53387719839341,100.34739462971883,1.22000511,103.8416668
127.99263999331176,130.91266262456566,117.47325708943359,1.22000511,103.8556668
0,0,0,1.224046563,103.6106667
126.7051,83.0197,72.7446,1.224046563,103.6246667
158.57477999999998,161.23362,166.01218,1.224046563,103.6666667
131.75168201603665,146.59765727376862,149.79105945017182,1.224046563,103.6806667
119.9293225490196,117.0853333333333,101.23531274509806,1.224046563,103.7506668
135.0051344556678,139.54791459034792,134.49256760194538,1.224046563,103.7646668
124.12340909090908,111.03706363636364,109.73900909090908,1.224046563,103.7786668
113.62275768989446,116.29332291726493,105.8275402493357,1.224046563,103.8486668
130.09392143010467,131.55239156495145,115.81949668191012,1.224046563,103.8626668
170.5162,195.1994,202.8462,1.228088017,103.6036667
130.59985,110.05685,97.32505,1.228088017,103.6176667
140.27458201603667,159.8837239404353,168.39635945017184,1.228088017,103.6736667
120.23079901960784,117.48589999999996,101.43176078431374,1.228088017,103.7436668
