cluster,Lat,Lon,hexColor
1,1.195756387,103.7576668,#827965
1,1.199797841,103.7646668,#827965
1,1.203839294,103.7576668,#827965
1,1.207880748,103.7646668,#827965
1,1.211922202,103.7576668,#827965
1,1.211922202,103.7856668,#827965
1,1.215963656,103.8346668,#827965
1,1.215963656,103.8486668,#827965
1,1.22000511,103.7576668,#827965
1,1.22000511,103.8416668,#827965
1,1.224046563,103.7506668,#827965
1,1.224046563,103.8486668,#827965
1,1.228088017,103.6176667,#827965
1,1.228088017,103.7436668,#827965
1,1.228088017,103.8416668,#827965
1,1.228088017,103.8556668,#827965
1,1.232129471,103.6106667,#827965
1,1.232129471,103.6246667,#827965
1,1.232129471,103.8346668,#827965
1,1.232129471,103.8486668,#827965
1,1.232129471,103.8626668,#827965
1,1.236170925,103.6176667,#827965
1,1.236170925,103.8556668,#827965
1,1.244253832,103.8276668,#827965
1,1.248295286,103.8486668,#827965
1,1.25233674,103.6176667,#827965
1,1.25233674,103.8416668,#827965
1,1.260419647,103.8276668,#827965
1,1.260419647,103.8416668,#827965
1,1.264461101,103.8346668,#827965
1,1.268502555,103.6176667,#827965
1,1.268502555,103.8136668,#827965
1,1.268502555,103.8416668,#827965
1,1.272544009,103.6106667,#827965
1,1.272544009,103.6246667,#827965
1,1.272544009,103.7226668,#827965
1,1.272544009,103.7926668,#827965
1,1.272544009,103.8486668,#827965
1,1.272544009,103.8626668,#827965
1,1.276585462,103.6176667,#827965
1,1.276585462,103.7296668,#827965
1,1.276585462,103.8136668,#827965
1,1.276585462,103.8276668,#827965
1,1.280626916,103.7226668,#827965
1,1.280626916,103.7786668,#827965
1,1.280626916,103.8206668,#827965
1,1.280626916,103.8346668,#827965
1,1.280626916,103.8486668,#827965
1,1.280626916,103.8766668,#827965
1,1.28466837,103.8696668,#827965
1,1.28466837,103.8836668,#827965
1,1.288709824,103.6806667,#827965
1,1.288709824,103.7086668,#827965
1,1.288709824,103.7786668,#827965
1,1.288709824,103.8066668,#827965
1,1.288709824,103.8346668,#827965
1,1.288709824,103.8486668,#827965
1,1.288709824,103.8906668,#827965
1,1.292751277,103.6316667,#827965
1,1.292751277,103.6736667,#827965
1,1.292751277,103.7016668,#827965
1,1.292751277,103.7716668,#827965
1,1.292751277,103.7856668,#827965
1,1.292751277,103.7996668,#827965
1,1.292751277,103.8136668,#827965
1,1.292751277,103.8416668,#827965
1,1.292751277,103.8836668,#827965
1,1.296792731,103.6946668,#827965
1,1.296792731,103.7786668,#827965
1,1.296792731,103.7926668,#827965
1,1.296792731,103.8066668,#827965
1,1.296792731,103.8346668,#827965
1,1.296792731,103.8766668,#827965
1,1.296792731,103.9046669,#827965
1,1.300834185,103.6316667,#827965
1,1.300834185,103.6456667,#827965
1,1.300834185,103.7296668,#827965
1,1.300834185,103.7436668,#827965
1,1.300834185,103.7576668,#827965
1,1.300834185,103.7716668,#827965
1,1.300834185,103.7856668,#827965
1,1.300834185,103.7996668,#827965
1,1.300834185,103.8416668,#827965
1,1.300834185,103.8556668,#827965
1,1.300834185,103.8696668,#827965
1,1.300834185,103.9116669,#827965
1,1.304875639,103.6946668,#827965
1,1.304875639,103.7506668,#827965
1,1.304875639,103.7786668,#827965
1,1.304875639,103.8486668,#827965
1,1.304875639,103.8626668,#827965
1,1.304875639,103.9186669,#827965
1,1.308917092,103.6456667,#827965
1,1.308917092,103.7436668,#827965
1,1.308917092,103.7576668,#827965
1,1.308917092,103.7716668,#827965
1,1.308917092,103.7996668,#827965
1,1.308917092,103.8556668,#827965
1,1.308917092,103.8976668,#827965
1,1.308917092,103.9116669,#827965
1,1.308917092,103.9536669,#827965
1,1.308917092,103.9816669,#827965
1,1.312958546,103.6246667,#827965
1,1.312958546,103.7366668,#827965
1,1.312958546,103.7506668,#827965
1,1.312958546,103.7926668,#827965
1,1.312958546,103.8486668,#827965
1,1.312958546,103.8766668,#827965
1,1.312958546,103.8906668,#827965
1,1.312958546,103.9186669,#827965
1,1.312958546,103.9606669,#827965
1,1.312958546,103.9746669,#827965
1,1.312958546,104.0026669,#827965
1,1.317,103.6596667,#827965
1,1.317,103.7436668,#827965
1,1.317,103.7856668,#827965
1,1.317,103.7996668,#827965
1,1.317,103.8836668,#827965
1,1.317,103.9116669,#827965
1,1.317,103.9536669,#827965
1,1.317,103.9676669,#827965
1,1.321041454,103.6666667,#827965
1,1.321041454,103.7366668,#827965
1,1.321041454,103.7506668,#827965
1,1.321041454,103.8066668,#827965
1,1.321041454,103.8906668,#827965
1,1.321041454,103.9466669,#827965
1,1.321041454,103.9606669,#827965
1,1.321041454,103.9746669,#827965
1,1.325082908,103.6316667,#827965
1,1.325082908,103.6596667,#827965
1,1.325082908,103.6736667,#827965
1,1.325082908,103.7156668,#827965
1,1.325082908,103.7856668,#827965
1,1.325082908,103.8136668,#827965
1,1.325082908,103.8836668,#827965
1,1.325082908,103.9816669,#827965
1,1.329124361,103.6386667,#827965
1,1.329124361,103.6666667,#827965
1,1.329124361,103.6806667,#827965
1,1.329124361,103.7786668,#827965
1,1.329124361,103.8486668,#827965
1,1.329124361,103.8766668,#827965
1,1.329124361,103.9046669,#827965
1,1.329124361,103.9186669,#827965
1,1.329124361,103.9326669,#827965
1,1.329124361,103.9466669,#827965
1,1.329124361,103.9606669,#827965
1,1.329124361,103.9746669,#827965
1,1.333165815,103.6316667,#827965
1,1.333165815,103.6736667,#827965
1,1.333165815,103.7156668,#827965
1,1.333165815,103.7576668,#827965
1,1.333165815,103.7716668,#827965
1,1.333165815,103.8696668,#827965
1,1.333165815,103.8976668,#827965
1,1.333165815,103.9116669,#827965
1,1.333165815,103.9256669,#827965
1,1.333165815,103.9396669,#827965
1,1.333165815,103.9536669,#827965
