R,G,B,Lat,Lon
129.91199145916684,134.4432270703088,125.38964722954863,1.159383303,103.7366668
130.4116680119043,134.73178334473175,124.46994625757301,1.163424757,103.7436668
161.66820104931932,149.26631368500034,127.40689850990863,1.167466211,103.7366668
54.595417714445375,70.18357082984073,58.618887957530035,1.171507664,103.7296668
0,0,0,1.171507664,103.7436668
0,0,0,1.175549118,103.7366668
0,0,0,1.179590572,103.7156668
152.40182054616386,112.11335067186823,81.32878196792372,1.179590572,103.7296668
0,0,0,1.183632026,103.7226668
0,0,0,1.187673479,103.7156668
62.8452523155891,169.983241419751,146.19806388326364,1.187673479,103.7296668
0,0,0,1.187673479,103.7716668
0,0,0,1.191714933,103.7226668
79.0998265129493,155.25656243447352,142.29525731377558,1.191714933,103.7366668
108.55577463952329,108.04101479860378,106.80559395164973,1.191714933,103.7646668
166.94551681195517,189.51733084267332,211.81060606060606,1.191714933,103.7786668
0,0,0,1.195756387,103.7296668
129.32984326601618,119.86928270054304,105.46117304627101,1.195756387,103.7576668
0,0,0,1.195756387,103.7716668
125.89094728772538,146.3100450269961,157.99585632269557,1.199797841,103.7086668
0,0,0,1.199797841,103.7226668
129.68464561024476,119.79832240433711,105.83658505713463,1.199797841,103.7646668
0,0,0,1.199797841,103.7786668
132.41231732776617,92.06874440799284,71.54085893229943,1.199797841,103.7926668
0,0,0,1.203839294,103.7156668
133.1003757380569,161.5115405260333,180.09648416532474,1.203839294,103.7296668
129.32984326601618,119.86928270054304,105.46117304627101,1.203839294,103.7576668
122.30958367047465,126.84028788866156,118.9671467088626,1.203839294,103.7716668
0,0,0,1.203839294,103.7856668
128.01877992464674,125.69115969460263,126.61526345233715,1.203839294,103.7996668
130.04309613404808,120.34310558807704,134.93069671294393,1.207880748,103.6386667
0,0,0,1.207880748,103.7086668
161.59447799248522,171.14923734120595,165.90726986044015,1.207880748,103.7226668
124.53811161546625,130.59132271657475,113.21123270404912,1.207880748,103.7646668
120.68701928892818,125.05362518590397,117.26754306200876,1.207880748,103.7786668
0,0,0,1.207880748,103.7926668
0,0,0,1.211922202,103.6176667
137.16690197660347,169.00796692214604,186.2625050423558,1.211922202,103.6316667
126.48119321277039,96.01067492104254,109.26479254823799,1.211922202,103.6456667
0,0,0,1.211922202,103.7156668
148.51092580399958,118.73707626398178,107.84323081916398,1.211922202,103.7296668
122.28665199898317,121.20793210815134,107.60041421512503,1.211922202,103.7576668
122.58442088142111,126.2397025591671,118.83323666040818,1.211922202,103.7716668
131.06561137974614,129.74695129825628,92.92234643521692,1.211922202,103.7856668
0,0,0,1.215963656,103.6106667
0,0,0,1.215963656,103.6246667
133.4599315297569,150.99361967088691,159.8311256176246,1.215963656,103.6386667
0,0,0,1.215963656,103.7086668
150.7124329562771,112.62643851226014,97.52133748399817,1.215963656,103.7226668
132.16585907721,129.79843760875582,119.568443830389,1.215963656,103.8346668
130.09524569417437,129.52333233572654,112.96257100569024,1.215963656,103.8486668
175.77302786962684,199.6934341048654,208.18540387340576,1.22000511,103.6036667
0,0,0,1.22000511,103.6176667
0,0,0,1.22000511,103.6316667
123.46875092351438,142.87091629678696,154.6366662114031,1.22000511,103.6736667
133.00866078167394,131.8697013573375,118.4920508898778,1.22000511,103.7576668
120.40803577302677,121.00319823381479,105.84230458008875,1.22000511,103.8416668
131.2320330977833,133.18179667035255,116.43063118946591,1.22000511,103.8556668
0,0,0,1.224046563,103.6106667
134.13507027768256,85.75574220089133,68.87641412410011,1.224046563,103.6246667
160.94156003428898,159.950547613084,163.6804814028576,1.224046563,103.6666667
105.46543576036972,132.78143265933247,141.99225921087444,1.224046563,103.6806667
132.24220927363564,125.97821116032874,106.79486780160074,1.224046563,103.7506668
113.5236722518875,120.80202539759934,113.49371056964593,1.224046563,103.7646668
124.55500945003406,105.7013587865851,102.7478281531843,1.224046563,103.7786668
121.18481513727339,123.29351262703739,110.00844882746448,1.224046563,103.8486668
133.34834968995668,133.38521712748764,115.19913488972202,1.224046563,103.8626668
175.77302786962684,199.6934341048654,208.18540387340576,1.228088017,103.6036667
131.50444720428095,109.95281997570129,92.32542587595599,1.228088017,103.6176667
123.24430596304329,153.99843672802066,168.16210645226013,1.228088017,103.6736667
