cluster,R.avg,G.avg,B.avg
7,254.650945025661,254.483406533754,253.23469576589
4,231.209365150833,215.882935614588,210.192856070839
3,243.183673469388,96.6699850671976,65.3797909407666
1,252.614273204904,248.182355516638,225.309927758319
8,253.261176470588,232.976,40.3788235294118
5,179.543670886076,174.751898734177,166.233544303797
2,253.632855122247,240.618306728632,157.362295413215
6,246.473342002601,175.457737321196,128.857824013871
